fuente_pdf,pagina_aprox,sector,fondo_documental,unidad_productora,fraccion_documental,codigo_serie,serie_documental,tipo_documento,valor_serie,retencion_ag,retencion_ap,retencion_oaa,retencion_total,valoracion_decision,valoracion_destino,valoracion_momento,valoracion_justifica,hash_fila
anexo2_layout.txt,100,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),PRCO,PRCO/04,BALANCES DE COMPROBACION,BALANCES DE COMPROBACION,PERMANENTE,3,0,27,30,TRANSFERENCIA,Archivo Central,Conservar en Archivo Central de forma indefinida.,Conservacion permanente segun PCD,c75de7ab8bb2c39552687342f45cf4210f8fd2de3d474aa7e5c90c1f3b49dcfb
anexo2_layout.txt,100,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),PRCO,PRCO/05,BALANCES GENERALES,BALANCES GENERALES,PERMANENTE,3,0,27,30,TRANSFERENCIA,Archivo Central,Conservar en Archivo Central de forma indefinida.,Conservacion permanente segun PCD,2921dc372dc5b9dff020160c64f053550d40b4ab169a1fe2c795273daa35dda0
anexo2_layout.txt,100,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),PRCO,PRCO/06,ESTADOS FINANCIEROS,ESTADOS FINANCIEROS,TEMPORAL,3,0,17,20,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,0e19e83d431496005f93c5d6b6708376b749104d17a289a93bc1acd29ab62a49
anexo2_layout.txt,100,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),PRCO,PRCO/07,EXPEDIENTES DE RESERVAS LEGALES,EXPEDIENTES DE RESERVAS LEGALES,TEMPORAL,3,0,17,20,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,97cf9ab8fd9c628788c6f64e6a07599f53f9da92c0590b20a227a6aa32936982
anexo2_layout.txt,100,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),PRCO,PRCO/08,EXPEDIENTES DE SUSTENTOS CONTABLES,EXPEDIENTES DE SUSTENTOS CONTABLES,TEMPORAL,2,0,13,15,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,3fcf1a07654489b7cd2bd70bd22c8304e222fe3ce1e40a4333624013b14973bd
anexo2_layout.txt,100,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),PRCO,PRCO/09,EXPEDIENTES DE RENDICION DE ANTICIPOS,EXPEDIENTES DE RENDICION DE ANTICIPOS,TEMPORAL,2,0,13,15,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,d62d26bbc907bb091e873d920584ea71247537d3e3f18bd94f09d0568fd3d825
anexo2_layout.txt,100,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),PRCO,PRCO/10,INVENTARIOS DE EXISTENCIAS,INVENTARIOS DE EXISTENCIAS,TEMPORAL,2,0,8,10,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,4861f4c21749543ea4c86185742a67c9ebbffd7e224b0cec561f4eed7d06d1b2
anexo2_layout.txt,100,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),PRCO,PRCO/11,CORRESPONDENCIA,CORRESPONDENCIA,TEMPORAL,2,0,8,10,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,c05b5f2afd6e880bab5bb81c6336908af489d0b5cf0546cefbbd6d0f652520f2
anexo2_layout.txt,101,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),CCSI,CCSI/01,EXPEDIENTES DE PAGO DE FIDEICOMISOS,EXPEDIENTES DE PAGO DE FIDEICOMISOS,PERMANENTE,5,0,25,30,TRANSFERENCIA,Archivo Central,Conservar en Archivo Central de forma indefinida.,Conservacion permanente segun PCD,a74592ca7413ffd4fc988279c883ef3f04a5efc89f4b0cf448cc81a7df2f324a
anexo2_layout.txt,101,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),CCSI,CCSI/02,DECLARACIONES JURADAS DE IMPUESTOS,DECLARACIONES JURADAS DE IMPUESTOS,TEMPORAL,5,0,15,20,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,66f9502083ce2cb06c59035d207310796b97b01587a04e47a7034ec500aefe68
